brand,model,model_year,mileage,fuel_type,transmission,exterior_color,interior_col,accident,clean_title,price,engine_size_L,car_age,miles_per_year
Hummer,H2 Base,2005,110900,Gasoline,Automatic,Gray,Black,None reported,Yes,19500,6.0,20,5545.0
Porsche,911 Carrera S,2013,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000,3.8,12,3250.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,Unknown,Black,Black,None reported,Yes,19800,2.0,9,13333.333333333334
Chrysler,300 Touring,2009,134602,Gasoline,Unknown,Blue,Black,None reported,Yes,7500,3.5,16,8412.625
Nissan,Rogue SV,2023,1094,Gasoline,Automatic,Caspian Blue,Light Gray,None reported,No,30999,1.5,2,547.0
Audi,A3 2.0T,2010,83500,Gasoline,Unknown,Silver,Black,None reported,Yes,6500,2.0,15,5566.666666666667
Ford,Mustang GT Premium,2014,37060,Gasoline,Manual,Black,Black,None reported,Yes,28500,5.0,11,3369.090909090909
Acura,RL Technology,2010,97700,Gasoline,Unknown,Blue,Beige,None reported,Yes,10995,3.7,15,6513.333333333333
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,Unknown,Black,Black,None reported,Yes,42000,2.0,7,5714.285714285715
Audi,R8 5.2 V10,2018,8940,Gasoline,Automatic,Tango Red Metallic,Black,None reported,No,144900,5.2,7,1277.142857142857
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000,3.5,11,16909.090909090908
Toyota,C-HR LE,2021,13180,Gasoline,CVT,–,Unknown,None reported,No,23998,2.0,4,3295.0
Lexus,IS 350 Base,2014,104000,Gasoline,Automatic,Black,Black,None reported,Yes,21000,3.5,11,9454.545454545454
BMW,X4 M40i,2023,8500,Hybrid,Unknown,Gray,Beige,None reported,Yes,67900,3.0,2,4250.0
BMW,M4 CS,2019,19069,Gasoline,Automatic,Alpine White,Anthracite,None reported,No,69998,3.0,6,3178.1666666666665
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,Automatic,White,Beige,None reported,Yes,46900,2.0,2,3045.0
Lucid,Air Grand Touring,2022,4900,Gasoline,Automatic,Red,Black,None reported,Yes,99000,Unknown,3,1633.3333333333333
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,Unknown,Black,Black,None reported,Yes,31000,2.0,6,7920.5
Chrysler,300C SRT8,2006,43000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995,6.1,19,2263.157894736842
Bentley,Continental GT W12,2017,14684,Gasoline,Automatic,White,White,None reported,Yes,130000,6.0,8,1835.5
BMW,M4 Base,2019,57800,Gasoline,Unknown,Black,Red,None reported,Yes,55999,3.0,6,9633.333333333334
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,Manual,Silver,Gray,None reported,Yes,49950,1.6,2,476.0
Audi,RS 5 2.9T,2019,21240,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950,2.9,6,3540.0
Porsche,Cayenne Base,2019,59338,Gasoline,Unknown,Black,Black,None reported,Yes,42499,3.0,6,9889.666666666666
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,Automatic,BLU ELEOS,Nero Ade,None reported,No,359991,5.2,2,127.5
Maserati,Quattroporte S,2019,23230,Gasoline,Automatic,Black,Black,None reported,Yes,44999,3.0,6,3871.6666666666665
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000,3.0,8,6000.0
Lexus,ES 330 Base,2005,41059,Gasoline,Automatic,White,Beige,None reported,Yes,11100,3.3,20,2052.95
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,Automatic,White,Black,None reported,No,37998,2.0,5,4248.0
Porsche,Cayman GTS,2015,11500,Gasoline,Automatic,Silver,Unknown,None reported,Yes,72000,3.4,10,1150.0
Genesis,G90 3.3T Premium,2021,9950,Gasoline,Automatic,Silver,Blue,None reported,Yes,53950,3.3,4,2487.5
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,Manual,White,Black,None reported,Yes,47999,2.0,2,316.5
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900,2.4,10,6600.0
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000,4.0,11,5428.636363636364
BMW,740 Li,2012,85252,Gasoline,Automatic,Black,Black,None reported,Yes,18500,3.0,13,6557.846153846154
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000,3.0,5,3580.0
BMW,M6 Base,2016,25500,Gasoline,Automatic,White,Black,None reported,Yes,55000,4.4,9,2833.3333333333335
Subaru,Forester 2.5 X,2004,210703,Gasoline,Manual,Green,Beige,Unknown,No,2300,2.5,21,10033.47619047619
Hyundai,Elantra N Base,2023,3800,Gasoline,Manual,White,Black,None reported,Yes,34000,2.0,2,1900.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,Automatic,Horizon Blue,Charcoal,None reported,Yes,31995,1.6,3,12200.666666666666
Rivian,R1S Adventure Package,2023,2800,Gasoline,Automatic,White,Green,None reported,Yes,92000,Unknown,2,1400.0
Aston,Martin DBS Superleggera,2021,2165,Gasoline,Automatic,Black,Black,None reported,Yes,279950,5.2,4,541.25
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900,2.0,7,4714.285714285715
BMW,435 Gran Coupe i,2016,76009,Gasoline,Automatic,White,Beige,None reported,Yes,24950,3.0,9,8445.444444444445
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,No,39366,5.7,5,6269.8
Lexus,RC 350 Base,2015,48000,Gasoline,Unknown,Orange,Red,None reported,Yes,32900,3.5,10,4800.0
BMW,525 i,2005,91420,Gasoline,Automatic,Black,Black,None reported,Yes,8900,2.5,20,4571.0
Toyota,Corolla LE,2003,124756,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995,1.8,22,5670.727272727273
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,Automatic,Rift Metallic,Gray,None reported,No,104900,6.2,2,1207.5
GMC,Acadia SLT-1,2012,116226,Gasoline,Automatic,Black,Black,None reported,Yes,7900,3.6,13,8940.461538461539
Lexus,LC 500 Base,2020,37869,Gasoline,Automatic,Atomic Silver,Rioja Red,None reported,No,75950,5.0,5,7573.8
BMW,i8 Base,2019,41500,Plug-In Hybrid,Unknown,White,Black,None reported,Yes,86000,1.5,6,6916.666666666667
Lexus,ES 300h Base,2013,87001,Hybrid,CVT,Gold,Beige,None reported,Yes,17995,2.5,12,7250.083333333333
Cadillac,CT5-V V-Series,2022,4451,Gasoline,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655,3.0,3,1483.6666666666667
BMW,540 i xDrive,2020,27158,Gasoline,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,No,39998,2.0,5,5431.6
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500,4.3,11,12709.454545454546
Jeep,Gladiator Rubicon,2022,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500,3.6,3,9100.0
BMW,Z4 sDrive28i,2014,36812,Gasoline,Unknown,White,Beige,None reported,Yes,27000,2.0,11,3346.5454545454545
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000,3.0,9,16000.0
Cadillac,XT4 Sport,2019,44500,Gasoline,Automatic,Blue,White,None reported,Yes,28900,2.0,6,7416.666666666667
BMW,750 750i xDrive,2021,10917,Gasoline,Automatic,Black,Black,None reported,No,73998,4.4,4,2729.25
Bentley,Arnage R,2005,8332,Gasoline,Automatic,White,Beige,None reported,Yes,47350,6.75,20,416.6
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,Automatic,Magnetic Gray Clearcoat,Roast,None reported,No,47698,3.0,5,10249.4
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,Unknown,Black,Brown,None reported,Yes,36500,5.5,9,7666.666666666667
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,Automatic,Bright White Clearcoat,Black,None reported,Yes,32662,3.6,4,36958.5
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,6600,3.7,12,8750.0
Audi,A5 2.0T Premium,2011,92203,Gasoline,Unknown,Red,Beige,None reported,Yes,9995,2.0,14,6585.928571428572
Nissan,GT-R Premium,2010,15600,Gasoline,Unknown,White,Black,None reported,Yes,69500,3.8,15,1040.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,No,30775,Unknown,7,14957.142857142857
Toyota,Corolla LE,2010,72348,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995,1.8,15,4823.2
Rivian,R1S Adventure Package,2023,2500,Gasoline,Automatic,Green,White,None reported,Yes,94000,Unknown,2,1250.0
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,Automatic,White,Silk Beige/Black,None reported,No,44798,2.0,3,4392.333333333333
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,Unknown,White,Red,At least 1 accident or damage reported,Yes,23000,3.0,9,10666.666666666666
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,Automatic,Summit White,Medium Pewter,None reported,Yes,22495,5.3,14,6643.5
INFINITI,Q70h Base,2016,52750,Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998,3.5,9,5861.111111111111
Audi,A7 Premium Plus,2020,25361,Hybrid,Automatic,Typhoon Gray,Black,None reported,No,49998,3.0,5,5072.2
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,Automatic,Black,Black,Unknown,No,9995,3.0,10,9852.7
Lucid,Air Pure,2023,1300,Gasoline,Automatic,Black,Gray,Unknown,No,86900,Unknown,2,650.0
Chrysler,Pacifica Touring,2017,87305,Gasoline,Automatic,Silver,Black,None reported,Yes,9000,Unknown,8,10913.125
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,Automatic,White,Black,Unknown,No,25999,2.0,13,5609.384615384615
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,Automatic,Black,Black,None reported,Yes,30000,4.4,10,4100.0
Subaru,Forester Premium,2021,42125,Gasoline,Automatic,Crystal Black Silica,Black,None reported,Yes,27899,2.5,4,10531.25
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,Unknown,Black,Black,None reported,Yes,40000,4.0,9,6888.888888888889
Land,Rover LR3 HSE,2006,153843,Gasoline,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950,4.4,19,8097.0
BMW,X7 xDrive40i,2019,35248,Gasoline,Automatic,Arctic Gray Metallic,Black,None reported,No,53998,3.0,6,5874.666666666667
Ford,Transit Connect XLT,2015,194454,Gasoline,Automatic,White,Black,None reported,Yes,9888,2.5,10,19445.4
Lexus,LX 570 Three-Row,2021,21000,Gasoline,Unknown,White,Black,None reported,Yes,89999,5.7,4,5250.0
Porsche,911 Carrera S,2013,18494,Gasoline,Manual,Black,Black,Unknown,No,86900,3.8,12,1541.1666666666667
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,Automatic,Red,Gray,None reported,Yes,12990,5.7,19,11473.684210526315
Nissan,Armada SL,2021,67800,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500,5.6,4,16950.0
Porsche,Cayman Base,2014,79000,Gasoline,Unknown,Red,Black,At least 1 accident or damage reported,Yes,42999,2.7,11,7181.818181818182
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,Automatic,Selenite Grey Metallic,Black,None reported,No,63998,3.0,3,8302.0
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000,5.3,19,3517.8947368421054
BMW,M5 Base,2013,86000,Gasoline,Unknown,Blue,White,None reported,Yes,32000,4.4,12,7166.666666666667
Hyundai,Kona N Base,2023,654,Gasoline,Automatic,Ultra Black,Black,None reported,Yes,34599,2.0,2,327.0
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,Automatic,Black,Black,None reported,Yes,12500,3.8,20,3750.0
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800,2.0,10,8400.0
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,Unknown,Gray,Gray,None reported,Yes,39999,4.0,8,6562.5
GMC,Acadia SLT-1,2011,120000,Gasoline,Automatic,Silver,Gray,None reported,Yes,7500,3.6,14,8571.42857142857
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,Automatic,Lunare White Metallic,Ice,None reported,Yes,35645,2.0,5,3733.0
Ferrari,FF Base,2016,19987,Gasoline,Automatic,Black,Brown,None reported,Yes,149900,6.3,9,2220.777777777778
Kia,K900 5.0L,2017,36486,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,23950,5.0,8,4560.75
Ford,E150 XLT,2013,162100,E85 Flex Fuel,Automatic,Black,Gray,None reported,Yes,12500,5.4,12,13508.333333333334
Tesla,Model 3 Performance,2022,13079,Gasoline,Automatic,Black,White,None reported,Yes,47000,Unknown,3,4359.666666666667
Toyota,4Runner SR5,2022,28377,Gasoline,Automatic,Silver,Gray,None reported,No,36999,4.0,3,9459.0
Subaru,Forester Base,2020,32744,Gasoline,CVT,Black,Gray,None reported,Yes,24000,2.5,5,6548.8
Porsche,Panamera 2,2012,54000,Gasoline,Automatic,White,Unknown,At least 1 accident or damage reported,Yes,26000,3.6,13,4153.846153846154
Toyota,Tacoma PreRunner,2008,202055,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,8500,4.0,17,11885.588235294117
RAM,2500 Laramie,2019,65000,Diesel,Automatic,Black,Black,None reported,Yes,65000,6.7,6,10833.333333333334
Kia,Sportage Nightfall,2022,9686,Gasoline,Automatic,Hyper Red,Black,None reported,Yes,30990,2.4,3,3228.6666666666665
Cadillac,DTS Base,2010,49620,Gasoline,Automatic,White,Gray,None reported,Yes,10499,4.6,15,3308.0
Toyota,Land Cruiser Base,1997,213000,Gasoline,Automatic,White,Beige,None reported,Yes,26500,4.5,28,7607.142857142857
Nissan,GT-R Premium,2020,16010,Gasoline,Automatic,White,Black,None reported,Yes,114000,3.8,5,3202.0
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,Unknown,Black,Black,None reported,No,51998,2.4,2,410.0
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,Automatic,Blue,Black,None reported,Yes,36499,2.0,4,17000.0
Lexus,LX 470 Base,1999,82000,Gasoline,Automatic,White,Beige,None reported,Yes,25000,4.7,26,3153.846153846154
GMC,Terrain SLE,2022,27352,Gasoline,Automatic,Summit White,Jet Black,None reported,No,27785,1.5,3,9117.333333333334
Ford,Escape Limited,2012,129000,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,7000,2.5,13,9923.076923076924
Lexus,LS 460 L,2014,106731,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,30000,4.6,11,9702.818181818182
Ford,Expedition Platinum,2019,34672,Gasoline,Automatic,White,White,None reported,Yes,45500,3.5,6,5778.666666666667
Chevrolet,Malibu LTZ,2010,55900,Gasoline,Unknown,Beige,Beige,None reported,Yes,8950,3.6,15,3726.6666666666665
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,128900,4.0,2,1579.0
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,Automatic,White,Brown,None reported,Yes,17000,2.0,10,8200.0
Genesis,G70 2.0T,2023,4785,Gasoline,Automatic,Vik Black,Obsidian Black,None reported,Yes,42850,2.0,2,2392.5
Chevrolet,Trailblazer LS,2021,20497,Gasoline,Automatic,Pacific Blue Metallic,Black,None reported,No,22999,1.3,4,5124.25
Scion,tC Base,2013,177600,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,7100,2.5,12,14800.0
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,Automatic,Blue,Beige,None reported,Yes,15500,2.0,11,7142.545454545455
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,43000,3.7,7,13571.42857142857
Porsche,911 GT2 RS,2018,4529,Gasoline,Automatic,Black,Black,None reported,Yes,417500,3.8,7,647.0
Ford,Explorer Timberline,2021,25240,Gasoline,Automatic,Gray,Ebony,At least 1 accident or damage reported,No,39951,2.3,4,6310.0
Volvo,XC90 3.2,2011,88300,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,11500,3.2,14,6307.142857142857
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,27499,5.3,12,8166.666666666667
Audi,TT RS 2.5T,2018,20675,Gasoline,Unknown,Gray,Gray,None reported,Yes,76000,2.5,7,2953.5714285714284
Lincoln,Navigator L,2008,95000,Gasoline,Automatic,Black,Black,None reported,Yes,10900,5.4,17,5588.235294117647
Hyundai,Elantra GLS,2010,107000,Gasoline,Automatic,Blue,Blue,At least 1 accident or damage reported,Yes,6250,2.0,15,7133.333333333333
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,24700,3.0,9,6666.666666666667
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,Manual,Black,Black,None reported,Yes,34999,2.0,13,2538.4615384615386
Tesla,Model Y Performance,2023,500,Gasoline,Automatic,Black,White,None reported,Yes,60000,Unknown,2,250.0
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,Automatic,White,Beige,None reported,Yes,63500,6.0,9,12055.555555555555
Nissan,GT-R Premium,2017,37800,Gasoline,Unknown,Orange,Orange,None reported,Yes,149500,3.8,8,4725.0
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,Gasoline,Automatic,Obsidian Black Metallic,Gray,None reported,No,44798,4.7,7,10631.714285714286
Chevrolet,Blazer Premier,2019,55621,Gasoline,Automatic,Silver Ice Metallic,Jet Black,None reported,No,34562,3.6,6,9270.166666666666
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,Automatic,Sonic Silver Metallic,Black,At least 1 accident or damage reported,Yes,32541,2.5,4,11676.75
Ford,Expedition Max Limited,2022,26500,Gasoline,Automatic,White,Beige,None reported,Yes,65900,3.5,3,8833.333333333334
Nissan,Titan XD SV,2020,10001,Gasoline,Automatic,Black,Black,None reported,Yes,47214,5.6,5,2000.2
Lexus,LX 570 Three-Row,2019,19050,Gasoline,Automatic,Black,Beige,None reported,Yes,76900,5.7,6,3175.0
Chevrolet,Traverse Premier,2020,52000,Gasoline,Automatic,White,Black,None reported,Yes,35800,3.6,5,10400.0
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,54999,3.0,11,5909.090909090909
BMW,X5 3.0i,2004,140000,Gasoline,Unknown,Black,Beige,None reported,Yes,6730,3.0,21,6666.666666666667
Ford,Fusion SE,2018,75600,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,14950,1.5,7,10800.0
Lincoln,MKZ Base,2015,117292,Gasoline,Automatic,Beige,Beige,None reported,Yes,12000,2.0,10,11729.2
Ford,GT,2005,1897,Gasoline,Manual,White,Unknown,None reported,No,429998,5.4,20,94.85
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,Unknown,White,Beige,None reported,Yes,33600,5.0,8,3250.0
Lexus,LC 500 Base,2022,2071,Gasoline,Automatic,Nightfall Mica,Caramel,None reported,No,99950,5.0,3,690.3333333333334
Ford,Shelby GT500 Base,2014,15629,Gasoline,Manual,Black,Black,None reported,No,61900,5.8,11,1420.8181818181818
Saturn,Sky Base,2008,15020,Gasoline,Automatic,Silver,Red,None reported,Yes,18500,2.4,17,883.5294117647059
Audi,RS Q8 4.0T quattro,2022,11322,Gasoline,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,119900,4.0,3,3774.0
Toyota,Land Cruiser,2016,50361,Gasoline,Automatic,Silver,Black,None reported,No,65998,5.7,9,5595.666666666667
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,36000,4.6,12,9583.333333333334
